"FECHA","PM25","PM10","NO2","NO","NOX","SO2","H2S","CO","O3","O3_8H","CO_8H","HR","PRESION","PRECIPITACION","TEMPERATURA","DIRECCION_VIENTO","VELOCIDAD_VIENTO","RADIACION","ESTACION","LAT","LON","REFERENCIA"
"2024-07-17 07:00",18.0796,25.7666,20.1888436121143,2.4740398112837,12.75082,4.34091780939962,3.29599785493726,352.868583460806,20.9018300784197,27.1560673452187,333.126705140565,84.638,944.094,0,9.34,110,1.649,0.002,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 08:00",18.3955,29.8304,26.1337717460138,7.61151158742547,20.10075,4.55843264100938,2.1668447929098,415.785586210371,18.5665353503195,27.1725213634812,334.048759826527,80.794,944.5072,0,9.59,297,1.041,0.081,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 09:00",19.4668,56.5173,33.532305346734,13.1427185529954,28.54325,5.43833698137987,2.15242538313235,454.797444145748,17.9175598094485,26.0276549768499,346.497979569555,75.333,945.0582,0,10.51,53,1.037,0.213,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 10:00",23.1951,50.155,25.1411981445302,12.266170945094,23.36716,6.70523758366559,1.93879686011394,407.294615818809,29.1427563123086,25.2215986633893,361.061954787278,66.973,945.1014,0,12.74,242,1.307,0.64,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 11:00",18.2329,51.7437,17.2766411288029,7.00391180419701,14.89569,6.40671025646453,0.985320947310302,325.12366495586,37.0566772371391,25.6771421754271,364.633859260392,65.373,945.1377,0,14.13,280,1.636,0.787,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 12:00",18.0293,47.0507,16.3898906372408,6.0269155626945,13.62774,5.96189843654536,0.785983370490113,304.634718654033,40.1668087394353,26.9928161011619,364.013468770319,61.491,944.713,0,15.06,235,1.799,0.827,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 13:00",68.4601,85.2199,15.6845587143175,5.54123882602944,12.8565,5.2981758306601,0.792983660238287,283.718418319822,40.8460732329053,28.6749581953719,359.208913578663,58.909,943.9881,0,16.02,217,1.932,0.795,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 14:00",NA,NA,15.549628888988,5.5274900987085,12.77397,4.81449728907486,1.12997999406949,271.449624540695,39.7925137337174,30.5488443117117,351.959082013268,55.821,943.4679,0,16.92,268,2.032,0.687,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 15:00",NA,NA,16.3186585527641,5.00861057810378,12.75923,5.26611864243957,1.85758892896419,267.339605534708,42.8606143106009,33.2936923407343,341.267959772506,56.364,943.3238,0,17.22,277,2.01,0.511,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 16:00",16.3205,38.9906,21.2542968480033,4.56936400998774,15.02567,4.74900005353409,2.62245439180787,288.258768637089,45.2887145778384,36.6339647441742,325.327107575846,58.949,943.2936,0,16.84,240,2.107,0.297,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 17:00",20.1464,46.3404,32.7150942513657,7.70363591128364,23.67425,4.83273898155493,4.32293459267319,340.929924107018,36.2323648442055,38.9233153735188,311.093667571004,71.287,943.7177,0,15.58,260,2.412,0.095,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 18:00",12.758,30.3847,32.5477249954755,6.82305740420525,22.86716,4.06992718783179,4.10306680818185,365.843679402781,31.9969151619396,39.2800852297227,305.912300519001,78.236,944.7319,0,12.7,300,2.272,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 19:00",9.89432,25.1885,36.4648877969723,5.8869503782442,24.18775,3.78015273015957,3.84616054943078,372.030121417671,28.6542988770616,38.229787934713,311.775607576727,78.538,945.6371,0,12.12,231,1.631,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 20:00",12.3987,28.8416,34.9969697103367,5.77861045602277,23.31843,4.68975449350658,1.75026471441812,364.678532757681,28.3615933147918,36.7541360066326,319.281084339683,80.118,946.0779,0,11.84,267,1.72,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 21:00",11.4783,26.6619,29.6074690250211,3.85419466506226,18.884,4.5652290791983,3.01649343141854,343.308884456104,31.4801820201007,35.583399605032,326.729892606718,79.851,946.2787,0,11.55,280,1.326,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 22:00",9.41603,23.312,24.0532321544777,2.04519433693589,14.45588,4.14428467400574,5.37603359317761,317.058216425055,33.5056919527476,34.7975468824108,332.430966592263,79.861,946.4919,0,11.52,283,1.316,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 23:00",13.5949,27.3299,24.2354782596104,1.4554355146421,14.07242,4.00589924008446,2.64672314043128,326.891825088242,28.7441885452762,33.0329936617452,339.874994036455,79.25,946.5756,0,11.55,209,0.763,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 00:00",15.6075,32.823,23.2459326893885,0.883461102932375,13.08058,3.67899972987743,2.10967571352256,331.869262849671,30.1107234227709,31.1357447673617,345.326305813028,79.241,946.4395,0,11.65,217,0.905,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 01:00",13.7342,30.2512,19.9597288491911,0.897915666950355,11.34519,4.17574995662678,1.79256573682061,319.352324325588,31.8446658854329,30.5872823975151,342.629105840349,79.326,946.1649,0,11.51,263,1.001,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 02:00",13.719,28.2704,15.3336870024358,0.804807906734834,8.808925,3.51255378005788,2.08171607529625,289.489758950094,34.3749589909288,30.8845378761388,333.084865783763,79.715,945.5679,0,11.25,144,0.776,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 03:00",14.5837,29.2432,13.6933140720021,0.849389946038523,7.973033,4.23784504449611,1.74295956749927,292.273285696932,33.9344387876067,31.5445553649569,323.115261318671,80.159,945.1318,0,11.08,208,0.909,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 04:00",11.3588,22.0993,10.591729862063,0.754604320973825,6.246783,3.91290982278299,1.49742832676184,265.933070277533,38.4034132333353,32.7997828547749,310.772078508652,81.143,945.5634,0,10.77,97,0.845,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 05:00",15.4153,29.563,13.159601933324,0.921728761982269,7.748442,4.09163126616378,1.27541637088133,285.642198529912,31.9205452451766,32.8548282579094,303.563742767878,81.283,945.5532,0,10.55,80,0.992,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 06:00",22.365,35.5412,23.091559517982,2.66108408262285,14.44759,3.49522089838766,1.63209633460991,356.231419974481,15.8549166726695,30.6484813478996,308.460393211557,84.695,945.4796,0,9.31,73,1.812,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 07:00",29.5456,54.1956,40.0388110299788,27.1671809673656,43.43517,5.38838905355685,1.63479100448232,553.167883995656,5.74855907266828,27.7740276638236,336.744900574983,77.168,945.5636,0,9.37,127,0.713,0.046,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 08:00",37.9774,101.487,60.5502810288263,64.7200975600137,84.95316,5.47466060420917,2.3950014042217,880.74585735883,7.86163343325839,24.9928914151345,405.354474888628,72.108,945.5718,0,12.59,269,0.949,0.285,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 09:00",25.2623,58.2253,37.5963370682494,19.7265287201343,36.07067,5.49947873456683,1.76972792199191,495.858128004872,22.6427973175979,23.8426578441552,427.417700348539,66.263,946.3072,0,12.92,282,1.36,0.505,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 10:00",32.4509,79.0519,50.2892986957254,24.9129196162646,47.04816,4.72993335988658,2.01609236468576,571.780686549737,26.4547589362515,22.8526328373205,462.704066298494,57.91,946.2628,0,15.39,255,1.014,0.672,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 11:00",27.4227,65.0323,30.4582517713349,10.2104749259138,24.51808,6.22235523368322,3.13551591289779,382.678588412704,42.235978246799,23.8903252697195,474.004729137966,57.52,946.2313,0,16.14,264,2.03,0.788,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 12:00",25.9545,57.3556,28.0196333773612,7.32626474955549,20.87042,12.5471337075413,5.97814183171623,352.299808680835,51.2341086733826,25.4941621997255,484.800571438378,47.393,945.4879,0,17.74,173,1.291,0.823,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 13:00",22.8346,61.9743,34.3524880504213,7.6822301928905,24.52758,9.36793278015575,3.09240676819644,388.162736140184,56.6210722804483,28.5817280791344,497.615638639662,44.664,944.7596,0,19.67,244,1.767,0.79,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 14:00",22.875,57.9198,24.9906805408794,6.3559637751584,18.469,6.50177134336424,2.55868796917045,292.405087543469,52.7692185649861,33.196015815674,489.637347085786,49.468,944.3633,0,20.01,252,2.603,0.684,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 15:00",28.3166,59.4793,19.270484988015,5.68577342601065,14.88114,5.59376196322295,3.06951322079541,261.691363935736,45.025619037253,38.1056483112471,453.202782078296,57.186,944.0781,0,18.12,210,2.509,0.504,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 16:00",24.8172,45.8523,21.4541657189264,5.18397677270351,15.63333,4.87046641589454,2.65218075257721,271.223465855282,40.6191023112204,42.2003319209923,377.012483140352,58.755,943.8737,0,17.43,223,1.887,0.293,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-18 17:00",18.8877,42.9083,29.9003981362121,7.0938894227722,21.68108,4.85255734293277,4.88297727892745,320.397234707557,32.1529122940737,43.3890962930518,355.079871478188,67.344,943.8867,0,16.33,285,2.079,0.095,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
